
2024/01/16 (09:22:29) | ===> btop++ v.1.3.0
2024/01/16 (09:22:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/16 (09:22:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/16 (09:22:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/16 (09:22:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/16 (09:22:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/01/16 (09:22:34) | ===> btop++ v.1.3.0
2024/01/16 (09:22:34) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/01/16 (09:22:39) | ===> btop++ v.1.3.0
2024/01/16 (09:22:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/16 (09:22:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/16 (09:22:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/16 (09:22:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/16 (09:22:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/01/16 (09:23:32) | ===> btop++ v.1.3.0
2024/01/16 (09:23:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/16 (09:23:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/16 (09:23:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/16 (09:23:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/16 (09:23:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/01/16 (13:31:40) | ===> btop++ v.1.3.0
2024/01/16 (13:31:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/16 (13:31:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/16 (13:31:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/16 (13:31:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/16 (13:31:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/01/16 (13:31:43) | ===> btop++ v.1.3.0
2024/01/16 (13:31:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/16 (13:31:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/16 (13:31:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/16 (13:31:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/16 (13:31:43) | WARNING: ROCm SMI: Failed to get PCIe throughput
